input,ckpt,sample,n_spots,pcc_marker_mean,pcc_marker_median,spear_marker_mean,spear_marker_median,pcc_isotype_mean,spear_isotype_mean,pcc_spot_mean,rmse_marker,baseline_spear_mean,delta_vs_baseline,n_baseline
proc,holdout_tonsil,A1LN,3394,0.1940371235370597,0.2209316488380441,0.2227579603161645,0.22631313146858673,-0.04075004901674492,0.14930514965794003,0.82139424223596,1.163320779800415,0.09564189576292585,0.20273113169399845,24
proc,holdout_tonsil,A1TNSL,4329,0.289226172015645,0.24139493628145198,0.33117695589260054,0.3013149866723146,0.10725257925242165,0.1266424657615693,0.7782132688547427,1.0981088876724243,0.22622135840617405,0.07677755316402889,24
proc,holdout_tonsil,D1LN,3024,0.21085175200573633,0.25259764132677703,0.21250814512933575,0.24411265313174643,0.005915638919980069,0.10786509091322051,0.8296559232991261,1.0197199583053589,0.08147361573235297,0.20419771591679362,24
proc,holdout_tonsil,D1TNSL,4503,0.3100108721720068,0.2872429334083015,0.3417902462108537,0.30762941424499374,0.11435816966474743,0.12099015084089289,0.7729927367107807,1.1445543766021729,0.21496113440253706,0.09645193355411129,24
proc,holdout_breast_cancer,A1LN,3394,0.13419476123880128,0.07581375333371325,0.21126048943183404,0.2747917198041982,-0.09438972801655078,0.07718534685882311,0.832375832586544,1.127770185470581,0.09564189576292585,0.17418466650878173,24
proc,holdout_breast_cancer,A1TNSL,4329,0.32975394990574664,0.28506154272431944,0.3947924418700329,0.326096977462059,0.0811370749748056,0.12049400471495009,0.8670315744770957,0.9487110376358032,0.22622135840617405,0.14496368697180922,24
proc,holdout_breast_cancer,D1LN,3024,0.22786746168905408,0.25001835108591886,0.23757377846501643,0.24492605059632305,-0.0814648988666197,0.01440205046170678,0.8445398600913816,0.9685444235801697,0.08147361573235297,0.21721430531598332,24
proc,holdout_breast_cancer,D1TNSL,4503,0.36968679620175454,0.36416394221728093,0.4028787666659732,0.34550522228705716,0.08879262553155587,0.12602612106246117,0.8588635284108859,0.9975768327713013,0.21496113440253706,0.1626121352314925,24
raw,holdout_tonsil,A1LN,3394,0.11774012589654172,0.150308450419917,0.13953749233476911,0.15127634882188046,-0.06848604568615543,0.034263633407936964,0.5675800413149507,1.5876082181930542,0.09564038367112249,0.07453447313515486,24
raw,holdout_tonsil,A1TNSL,4329,0.2361956130126594,0.20964111623754667,0.27473338283191323,0.26401748239317896,0.023183670080555527,0.036370390095180144,0.7153645436714263,1.2519328594207764,0.2262213473844977,0.06643254524125868,24
raw,holdout_tonsil,D1LN,3024,0.11845846239261462,0.07673452351022718,0.13252608813933148,0.08444526981019929,-0.03330587039577852,0.028284059009625828,0.5674753763357686,1.4863691329956055,0.08147345996408321,0.07130898453561126,24
raw,holdout_tonsil,D1TNSL,4503,0.25340040957406945,0.2312351732616843,0.28696062958234,0.2953817418018087,0.01095148135158392,-0.0011299204047078189,0.7067350425335324,1.3064520359039307,0.21496112713730833,0.09093154979294811,24
raw,holdout_breast_cancer,A1LN,3394,0.05105856350865932,0.06219698507098418,0.13704968691976643,0.1392842857164266,-0.05882041310863824,0.05397509881722212,0.6020830589146063,1.3647997379302979,0.09564038367112249,0.06876891570801563,24
raw,holdout_breast_cancer,A1TNSL,4329,0.26034671008618426,0.22484166884521517,0.34903548392788725,0.26989826299350606,0.09596397327231239,0.10291809860648762,0.8154377171688919,1.0316681861877441,0.2262213473844977,0.10269933033757889,24
raw,holdout_breast_cancer,D1LN,3024,0.12077185344077358,0.10908806272908876,0.15732737646625655,0.12440704870647427,-0.023406466912339077,0.03917904927896073,0.6534064122691229,1.1819581985473633,0.08147345996408321,0.10975714751065797,24
raw,holdout_breast_cancer,D1TNSL,4503,0.30808256589168015,0.30833157311683035,0.3568896180201983,0.3289033088437029,0.0934422739726185,0.12772408907635685,0.8079844920993247,1.071488380432129,0.21496112713730833,0.12266206987239187,24
