fold,sample,n_spots_raw,n_spots_eval,n_genes_model,spearman_mean,spearman_median,pearson_mean,spot_pearson_mean,namesake_spearman_mean
holdout_tonsil,A1LN,3394,358,12916,0.2800293803864188,0.3791958450954805,0.2795678675174713,-0.06254059076309204,0.23302055055137375
holdout_tonsil,A1TNSL,4329,3186,12916,0.31081850481000173,0.35018061306136883,0.2869539260864258,0.13640186190605164,0.26059559077411326
holdout_tonsil,D1LN,3024,16,12916,0.20882352941176474,0.2088235294117647,0.18869638442993164,-0.04969129338860512,0.17563915433595026
holdout_tonsil,D1TNSL,4503,2941,12916,0.2998944913046813,0.3165781697576936,0.2770960330963135,0.12974244356155396,0.2637652807457784
holdout_breast_cancer,A1LN,3394,358,17434,0.3828147243522521,0.4120900597209986,0.3785514235496521,0.04968166723847389,0.23302055055137375
holdout_breast_cancer,A1TNSL,4329,3186,17434,0.4181970800900901,0.39198127701639696,0.39256149530410767,0.23107528686523438,0.26059559077411326
holdout_breast_cancer,D1LN,3024,16,17434,0.4148956356736243,0.5117647058823529,0.4229075014591217,-0.09680525958538055,0.17563915433595026
holdout_breast_cancer,D1TNSL,4503,2941,17434,0.41436212422221685,0.3962546010052787,0.3943745195865631,0.23063933849334717,0.2637652807457784
