input,ckpt,sample,n_spots,pcc_marker_mean,pcc_marker_median,spear_marker_mean,spear_marker_median,pcc_isotype_mean,spear_isotype_mean,pcc_spot_mean,rmse_marker,baseline_spear_mean,delta_vs_baseline,n_baseline
proc,holdout_tonsil,A1LN,3394,0.19224639541919245,0.21626127367731057,0.22324225311145188,0.2664471348234187,-0.047162362433260704,0.1280894565963751,0.8216088800182392,1.170913815498352,0.09564189576292585,0.18741680026696192,24
proc,holdout_tonsil,A1TNSL,4329,0.3139438436475482,0.26087033925558933,0.3684744581205065,0.35586314952045023,0.09652560208510837,0.12233138494082385,0.7759105686953393,1.1018391847610474,0.22622135840617405,0.11942752415202983,24
proc,holdout_tonsil,D1LN,3024,0.21087484410272175,0.24166355643193255,0.2056697103659925,0.27949443827123005,-0.002471939759453364,0.08768175491327515,0.8303204004991915,1.025646686553955,0.08147361573235297,0.1811259062166791,24
proc,holdout_tonsil,D1TNSL,4503,0.336844790123719,0.30354258370133136,0.3770898761703664,0.33830120060203445,0.09108865990453088,0.09796186629970857,0.7705452239682713,1.149085283279419,0.21496113440253706,0.1380173099407125,24
proc,holdout_breast_cancer,A1LN,3394,0.06169505647146561,0.032060186089863024,0.14744584361565394,0.22384327219265623,-0.08195463238973233,0.11354313204656336,0.8242705994492424,1.1385263204574585,0.09564189576292585,0.10150410401679384,24
proc,holdout_breast_cancer,A1TNSL,4329,0.30925730877070484,0.26557828339186657,0.37751241283844256,0.3022309725780562,0.08147734195849092,0.09959115540490186,0.8645303670859475,0.952004075050354,0.22622135840617405,0.12757843815658268,24
proc,holdout_breast_cancer,D1LN,3024,0.17278081094136294,0.19685281135880212,0.1953050398162071,0.2359353024494379,-0.06127069255280612,0.07853540359106861,0.8373771616510501,0.9811404347419739,0.08147361573235297,0.1699835356812218,24
proc,holdout_breast_cancer,D1TNSL,4503,0.3542633662770967,0.33512369574151624,0.3895688512488846,0.3257581880774796,0.09246153860367325,0.12044380319014072,0.8582685882844343,0.9978634119033813,0.21496113440253706,0.1509674424631387,24
raw,holdout_tonsil,A1LN,3394,0.12195557111497746,0.14759768758676112,0.1478313322216376,0.11727158105566626,-0.06969368650918807,0.012362764490324689,0.5513308982343745,1.626960039138794,0.09564038367112249,0.0861565581794377,24
raw,holdout_tonsil,A1TNSL,4329,0.23666782930833374,0.18968957993099425,0.281548576542642,0.24023297568417584,0.018192283149938177,0.024160987375286595,0.7107228864145106,1.2599660158157349,0.2262213473844977,0.0736949355011264,24
raw,holdout_tonsil,D1LN,3024,0.1348307954927561,0.12068260474469078,0.14745217594195223,0.1080193641251194,-0.04434571607368551,0.01436972888095485,0.5507251114247838,1.5239918231964111,0.08147345996408321,0.0909023860080941,24
raw,holdout_tonsil,D1TNSL,4503,0.2572096947866555,0.23648158884768797,0.29428770496960277,0.2839601719452162,0.005561635114504474,-0.011842532816187558,0.7013398922664913,1.3149516582489014,0.21496112713730833,0.09894519764117841,24
raw,holdout_breast_cancer,A1LN,3394,0.06313169851090386,0.04877852214708038,0.14771443326684985,0.16658917543932208,-0.09330203088542095,-0.060948107139574,0.600367823066897,1.382179856300354,0.09564038367112249,0.06309666379304171,24
raw,holdout_breast_cancer,A1TNSL,4329,0.22437758954769807,0.21681665459217217,0.33449731965342094,0.25071935903810233,0.08657783585771031,0.08496934857200793,0.7969825616866544,1.0591330528259277,0.2262213473844977,0.08319606900281562,24
raw,holdout_breast_cancer,D1LN,3024,0.12216722482879488,0.11487258508626917,0.15794147460817023,0.1401792844717001,-0.06290011201146557,-0.07376022227047045,0.6436538982946658,1.2087717056274414,0.08147345996408321,0.09201962933199026,24
raw,holdout_breast_cancer,D1TNSL,4503,0.27927873628066924,0.2733215977088778,0.34191192425298256,0.30441162468873506,0.08972432870476042,0.09824414747361229,0.794207879915074,1.0953128337860107,0.21496112713730833,0.10150861873405802,24
