input,ckpt,sample,protein,isotype,pcc,spearman,std_true
proc,holdout_tonsil,A1LN,ACTA2,False,0.5693027186949441,0.4501911483602475,0.9472047090530396
proc,holdout_tonsil,A1LN,BCL2,False,0.2153455396267455,0.40814629219851123,0.4133993983268738
proc,holdout_tonsil,A1LN,CCR7,False,0.2209316488380441,0.1809956636896788,0.37162232398986816
proc,holdout_tonsil,A1LN,CD14,False,0.28704948432266236,0.2920965872008678,0.35032927989959717
proc,holdout_tonsil,A1LN,CD163,False,0.2623990532144809,0.43498747100324325,0.4647635221481323
proc,holdout_tonsil,A1LN,CD19,False,0.38285878869657286,0.46861856253016726,0.4245547354221344
proc,holdout_tonsil,A1LN,CD27,False,0.05406146640576769,0.20431209676108267,0.3306097686290741
proc,holdout_tonsil,A1LN,CD274,False,0.018123076271035245,-0.11591098093266784,1.2016589641571045
proc,holdout_tonsil,A1LN,CD3E,False,0.6534897805743901,0.6979816672183058,0.5856879949569702
proc,holdout_tonsil,A1LN,CD4,False,0.08311528300917304,0.32707841635159074,0.31244197487831116
proc,holdout_tonsil,A1LN,CD40,False,0.13810189935782902,0.12116724882334293,0.32575058937072754
proc,holdout_tonsil,A1LN,CD68,False,0.24133311295667667,0.18910944811710315,0.6922484040260315
proc,holdout_tonsil,A1LN,CD8A,False,0.39582259483663945,0.44540781123733975,0.5597680807113647
proc,holdout_tonsil,A1LN,CEACAM8,False,-0.03956695029482553,-0.0372543533307827,1.7214621305465698
proc,holdout_tonsil,A1LN,CR2,False,-0.04444265172576836,-0.13157030824535546,0.3152431547641754
proc,holdout_tonsil,A1LN,CXCR5,False,0.3738571504566538,0.42912471495317833,0.7962615489959717
proc,holdout_tonsil,A1LN,EPCAM,False,0.01567758098744023,-0.0067959017482664,0.4880926012992859
proc,holdout_tonsil,A1LN,FCGR3A,False,0.18775859009582296,0.46333604257549843,2.5281803607940674
proc,holdout_tonsil,A1LN,HLA_DRA,False,0.488576052548391,0.4309798423807919,0.8589324951171875
proc,holdout_tonsil,A1LN,ITGAM,False,0.282776938378715,0.22631313146858673,0.6453465819358826
proc,holdout_tonsil,A1LN,ITGAX,False,0.27608059168225757,0.28418576170106796,0.7090064287185669
proc,holdout_tonsil,A1LN,KRT5,False,0.10674913836404448,0.13821488512596328,2.491554021835327
proc,holdout_tonsil,A1LN,MS4A1,False,0.22499969315665966,0.10902325690849635,0.7290773391723633
proc,holdout_tonsil,A1LN,PAX5,False,0.34079714969905217,0.20830139483405832,1.3240177631378174
proc,holdout_tonsil,A1LN,PCNA,False,-0.22141243644833408,-0.36178673795451466,0.6217760443687439
proc,holdout_tonsil,A1LN,PDCD1,False,-0.1664217375236905,-0.276755775343505,0.4648968577384949
proc,holdout_tonsil,A1LN,PECAM1,False,0.5630904439187285,0.618915716430037,0.4987795650959015
proc,holdout_tonsil,A1LN,PTPRC_1,False,0.21788839142913913,0.2959124187918174,0.4473893344402313
proc,holdout_tonsil,A1LN,PTPRC_2,False,0.3008283946391546,0.39097013686256615,0.5496691465377808
proc,holdout_tonsil,A1LN,SDC1,False,-0.09589563313849264,0.10403844393415695,1.2163556814193726
proc,holdout_tonsil,A1LN,VIM,False,-0.3181243233810567,-0.08383733210151027,0.5705645680427551
proc,holdout_tonsil,A1LN,mouse_IgG1k,True,-0.14017493506860068,0.06040807916549145,0.8905408978462219
proc,holdout_tonsil,A1LN,mouse_IgG2a,True,-0.11093447721924785,0.03506559740018485,1.1811292171478271
proc,holdout_tonsil,A1LN,mouse_IgG2bk,True,-0.02759554234125695,0.3083074570291893,2.0679969787597656
proc,holdout_tonsil,A1LN,rat_IgG2a,True,0.11570475856212581,0.19343946503689455,0.5108078718185425
proc,holdout_tonsil,A1TNSL,ACTA2,False,0.5375957070991014,0.47783990554200534,0.9816176295280457
proc,holdout_tonsil,A1TNSL,BCL2,False,-0.1910717593039711,-0.18720251531789303,0.41672930121421814
proc,holdout_tonsil,A1TNSL,CCR7,False,-0.03748399199383011,-0.035686350449682394,0.3251306712627411
proc,holdout_tonsil,A1TNSL,CD14,False,0.5072736032797984,0.40356364145042084,0.32268577814102173
