fold,sample,protein,spearman,pearson,namesake_spearman,n_spots
holdout_tonsil,A1LN,ACTA2,0.6458408389421344,0.594704270362854,0.37260305686999823,358
holdout_tonsil,A1LN,BCL2,0.42816892088840947,0.3919147253036499,0.20815428646920633,358
holdout_tonsil,A1LN,CCR7,0.24304258669901724,0.2995398938655853,0.5819018141345403,358
holdout_tonsil,A1LN,CD14,0.008104422889897933,0.028164533898234367,0.09852091536287581,358
holdout_tonsil,A1LN,CD163,-0.06995277530878212,-0.04671899229288101,0.041736127410426926,358
holdout_tonsil,A1LN,CD19,0.5233608109993658,0.48267337679862976,0.3231468919724202,358
holdout_tonsil,A1LN,CD27,-0.16411446544351235,-0.1243848204612732,0.1400433753085096,358
holdout_tonsil,A1LN,CD274,-0.006804053689137223,-0.02206903137266636,,358
holdout_tonsil,A1LN,CD3E,0.2737362167599335,0.2736465632915497,0.4594646740012025,358
holdout_tonsil,A1LN,CD4,0.3791958450954805,0.3542165160179138,0.20484189465182812,358
holdout_tonsil,A1LN,CD40,0.41575081348267345,0.34788501262664795,-0.0632665734537844,358
holdout_tonsil,A1LN,CD68,-0.2719530475703143,-0.31818893551826477,,358
holdout_tonsil,A1LN,CD8A,0.4157270134832227,0.4237893223762512,0.23468976819455833,358
holdout_tonsil,A1LN,CEACAM8,0.16889120379481837,0.18234269320964813,,358
holdout_tonsil,A1LN,CR2,0.4883850118064997,0.6387568116188049,0.4831194587159246,358
holdout_tonsil,A1LN,CXCR5,0.6238823317565616,0.6371849775314331,0.32148305761909246,358
holdout_tonsil,A1LN,EPCAM,0.26716977075762066,0.22476930916309357,0.11866685858784928,358
holdout_tonsil,A1LN,FCGR3A,0.30287186224141854,0.18507720530033112,0.028334302339197374,358
holdout_tonsil,A1LN,HLA_DRA,0.49688135007196876,0.49187830090522766,,358
holdout_tonsil,A1LN,ITGAM,0.4788733812567681,0.5481190085411072,0.30778657971930995,358
holdout_tonsil,A1LN,ITGAX,0.45533387410767984,0.47634977102279663,0.12215607464140861,358
holdout_tonsil,A1LN,KRT5,-0.01781168420434575,0.024273842573165894,-0.012047335071075853,358
holdout_tonsil,A1LN,MS4A1,0.6033748399221192,0.6822690963745117,0.7343275366183334,358
holdout_tonsil,A1LN,PAX5,0.5570242102225182,0.57077556848526,0.5481986611334899,358
holdout_tonsil,A1LN,PCNA,0.13474134304443056,0.0908813551068306,,358
holdout_tonsil,A1LN,PDCD1,0.6409974082846751,0.5931236147880554,,358
holdout_tonsil,A1LN,PECAM1,0.5319180877249672,0.5405685305595398,0.3251629290669229,358
holdout_tonsil,A1LN,PTPRC_1,-0.2720448475681958,-0.2615114152431488,0.01115687755091123,358
holdout_tonsil,A1LN,PTPRC_2,0.49795522697026395,0.4810585081577301,-0.0018749090306250473,358
holdout_tonsil,A1LN,SDC1,-0.11746123575089455,-0.12439395487308502,0.004186890420449811,358
