fold,sample,protein,spearman,pearson,namesake_spearman,n_spots
holdout_tonsil,A1LN,ACTA2,0.47563859611168124,0.530036985874176,0.3280076796136299,1301
holdout_tonsil,A1LN,BCL2,0.3050576370642821,0.28930211067199707,0.15183973215599766,1301
holdout_tonsil,A1LN,CCR7,0.3361362690766871,0.39832061529159546,0.3656749663476301,1301
holdout_tonsil,A1LN,CD14,0.1370854802879796,0.10958690196275711,0.025599407420108314,1301
holdout_tonsil,A1LN,CD163,-0.5575428385058694,-0.4905274212360382,0.16341502559584806,1301
holdout_tonsil,A1LN,CD19,0.1767955388936768,0.14723794162273407,0.12145265607439751,1301
holdout_tonsil,A1LN,CD27,0.11185512957202226,0.0909765288233757,0.11538941809683635,1301
holdout_tonsil,A1LN,CD274,0.017906532236948044,0.006510031875222921,,1301
holdout_tonsil,A1LN,CD3E,0.48656064473078675,0.46912503242492676,0.3549655990302314,1301
holdout_tonsil,A1LN,CD4,0.3917057208627531,0.3683643043041229,0.11153771068358201,1301
holdout_tonsil,A1LN,CD40,0.30917692674053104,0.28561267256736755,-0.011307592101739837,1301
holdout_tonsil,A1LN,CD68,-0.29720337871313146,-0.2940021753311157,,1301
holdout_tonsil,A1LN,CD8A,0.1811588064807672,0.198525071144104,0.18852397899865017,1301
holdout_tonsil,A1LN,CEACAM8,0.11853292575367404,0.12265969067811966,,1301
holdout_tonsil,A1LN,CR2,0.4421879169651354,0.5896970629692078,0.2937937787194974,1301
holdout_tonsil,A1LN,CXCR5,0.3908425362542542,0.46460938453674316,0.20853704793307568,1301
holdout_tonsil,A1LN,EPCAM,0.24003498522255806,0.22094634175300598,0.05223504081499609,1301
holdout_tonsil,A1LN,FCGR3A,0.37661860739741276,0.1999809294939041,0.014135131348128946,1301
holdout_tonsil,A1LN,HLA_DRA,0.7289365990930544,0.6607382893562317,,1301
holdout_tonsil,A1LN,ITGAM,0.1178685988827071,0.16466625034809113,0.12482414906300068,1301
holdout_tonsil,A1LN,ITGAX,0.5458531857668998,0.49924734234809875,0.16551005016613582,1301
holdout_tonsil,A1LN,KRT5,-0.128487622070226,-0.1539248675107956,-0.009155954875990087,1301
holdout_tonsil,A1LN,MS4A1,0.3208946571516306,0.4892013967037201,0.4359584762312857,1301
holdout_tonsil,A1LN,PAX5,0.27007262740121185,0.32965630292892456,0.31004172262604157,1301
holdout_tonsil,A1LN,PCNA,0.01957515297179575,0.024928567931056023,,1301
holdout_tonsil,A1LN,PDCD1,0.3460788350029876,0.34507545828819275,,1301
holdout_tonsil,A1LN,PECAM1,0.5600864385670117,0.4553978145122528,0.257138141299994,1301
holdout_tonsil,A1LN,PTPRC_1,0.19558516463081188,0.11530979722738266,0.012872627462137291,1301
holdout_tonsil,A1LN,PTPRC_2,0.45770493670372164,0.39392510056495667,0.07876699721689438,1301
holdout_tonsil,A1LN,SDC1,0.042667345300059584,-0.002185756340622902,-0.00513560434620487,1301
holdout_tonsil,A1LN,VIM,-0.29132102496255713,-0.2555429935455322,,1301
holdout_tonsil,A1TNSL,ACTA2,0.2201703776870318,0.22953517735004425,0.2653289899986682,4075
holdout_tonsil,A1TNSL,BCL2,-0.34356226263298273,-0.38268736004829407,0.27502239160592823,4075
holdout_tonsil,A1TNSL,CCR7,-0.11143962385972747,-0.04415133222937584,0.2062434807402674,4075
holdout_tonsil,A1TNSL,CD14,0.281594312628805,0.23147164285182953,0.014558188826801172,4075
holdout_tonsil,A1TNSL,CD163,-0.21708517644398456,-0.167621910572052,0.05300481901527613,4075
holdout_tonsil,A1TNSL,CD19,0.3672226732695722,0.32450366020202637,0.20200247594176035,4075
holdout_tonsil,A1TNSL,CD27,-0.21622463845484763,-0.1641492396593094,0.10875215745980753,4075
holdout_tonsil,A1TNSL,CD274,0.4791677984853335,0.3319542407989502,,4075
holdout_tonsil,A1TNSL,CD3E,0.6121144464270492,0.6030159592628479,0.5502595316758928,4075
holdout_tonsil,A1TNSL,CD4,0.26867883516357133,0.25414326786994934,0.23300040758066912,4075
holdout_tonsil,A1TNSL,CD40,0.2504538308958697,0.25371190905570984,0.2186281859463401,4075
holdout_tonsil,A1TNSL,CD68,0.24546999380957482,0.22484873235225677,,4075
holdout_tonsil,A1TNSL,CD8A,0.5535938535410351,0.5400608777999878,0.2810890490031631,4075
holdout_tonsil,A1TNSL,CEACAM8,0.11966023953404345,0.0545487143099308,,4075
holdout_tonsil,A1TNSL,CR2,0.35015187086414784,0.35487139225006104,0.22070807731357595,4075
holdout_tonsil,A1TNSL,CXCR5,0.7454138949763316,0.7085601687431335,0.386690727016823,4075
holdout_tonsil,A1TNSL,EPCAM,0.2694807740753099,0.33430221676826477,0.03522329209040951,4075
holdout_tonsil,A1TNSL,FCGR3A,0.13211539777558653,0.09072909504175186,0.02932593828429047,4075
holdout_tonsil,A1TNSL,HLA_DRA,0.5534845604485261,0.5453800559043884,,4075
holdout_tonsil,A1TNSL,ITGAM,-0.007018703508002906,0.04549349471926689,0.06973349632153131,4075
holdout_tonsil,A1TNSL,ITGAX,0.3927931966010633,0.3721785545349121,0.2196479149941729,4075
holdout_tonsil,A1TNSL,KRT5,0.6956634399660365,0.6783573031425476,0.7569267486262649,4075
holdout_tonsil,A1TNSL,MS4A1,0.39065221123656196,0.32538118958473206,0.4412507093353021,4075
holdout_tonsil,A1TNSL,PAX5,0.7728737535352388,0.6125487685203552,0.6291287664381905,4075
holdout_tonsil,A1TNSL,PCNA,0.5361355916469004,0.4974652826786041,,4075
holdout_tonsil,A1TNSL,PDCD1,0.4874949904842498,0.446056604385376,,4075
holdout_tonsil,A1TNSL,PECAM1,0.6257276002033916,0.5965121984481812,0.4019732100985789,4075
holdout_tonsil,A1TNSL,PTPRC_1,0.17093681007317207,0.1274244487285614,0.06959887559254493,4075
holdout_tonsil,A1TNSL,PTPRC_2,0.2626328607971442,0.22587257623672485,0.11044496621051406,4075
holdout_tonsil,A1TNSL,SDC1,0.18693559348271274,0.11898374557495117,0.09803518295413864,4075
holdout_tonsil,A1TNSL,VIM,0.6297802067404339,0.5956865549087524,,4075
holdout_tonsil,D1LN,ACTA2,0.7164739474696746,0.6730222702026367,0.3447950436658313,114
holdout_tonsil,D1LN,BCL2,0.16680504647536504,0.17129699885845184,0.09750612270905823,114
