test_name,G,P,seed,graph_seed,best_epoch,best_rmse_global,best_mae_global,best_rmse_pro_mean,best_pcc_pro_median,best_pcc_spot_median,best_sp_pro_mean,final_epoch,final_loss,final_rmse_global,final_mae_global,final_rmse_pro_mean,final_rmse_pro_median,final_pcc_pro_mean,final_pcc_pro_median,final_pcc_spot_mean,final_pcc_spot_median,final_sp_pro_mean,final_sp_pro_median,selection_metric,encoder_mRNA_total,encoder_mRNA_trainable,decoder_mRNA_total,decoder_mRNA_trainable,decoder_protein_total,decoder_protein_trainable,model_total,model_trainable
tonsil,4000,35,3,3,20,0.6867344709331188,0.5047390305756096,0.6281264258302037,0.0977324408200785,0.8675531072978978,0.13951321171129316,20,2.63281512260437,0.6867344709331188,0.5047390305756096,0.6281264258302037,0.5295596459844127,0.09140635084758451,0.0977324408200785,0.8538339178661134,0.8675531072978978,0.13951321171129316,0.12356727346663321,test_rmse_global,68279241,68279241,2576800,2576800,542755,542755,71398796,71398796
breast_cancer,4000,35,3,3,20,0.8909718480848813,0.6369800665287634,0.7656679033057875,0.08011590229376019,0.7810062296584755,0.1514361395436767,20,3.4836232662200928,0.8909718480848813,0.6369800665287634,0.7656679033057875,0.6436621130580292,0.14989630463167494,0.08011590229376019,0.7654992152996827,0.7810062296584755,0.1514361395436767,0.09505751596387652,test_rmse_global,68279241,68279241,2576800,2576800,542755,542755,71398796,71398796
