test_name,G,P,seed,graph_seed,best_epoch,best_rmse_global,best_mae_global,best_rmse_pro_mean,best_pcc_pro_median,best_pcc_spot_median,best_sp_pro_mean,final_epoch,final_loss,final_rmse_global,final_mae_global,final_rmse_pro_mean,final_rmse_pro_median,final_pcc_pro_mean,final_pcc_pro_median,final_pcc_spot_mean,final_pcc_spot_median,final_sp_pro_mean,final_sp_pro_median,selection_metric,encoder_mRNA_total,encoder_mRNA_trainable,decoder_mRNA_total,decoder_mRNA_trainable,decoder_protein_total,decoder_protein_trainable,model_total,model_trainable
tonsil,4000,20,2,2,20,0.6479642297437667,0.4791741126508278,0.5952065572633825,0.05843994038647786,0.897410748601779,0.10145730899550343,20,2.5007708072662354,0.6479642297437667,0.4791741126508278,0.5952065572633825,0.5242701347148482,0.06804150028813226,0.05843994038647786,0.8801746153429185,0.897410748601779,0.10145730899550343,0.12561207487035714,test_rmse_global,68279241,68279241,2576800,2576800,535060,535060,71391101,71391101
breast_cancer,4000,20,2,2,3,0.8572297289199385,0.6173646228785621,0.745578681189638,0.13220508144128829,0.8089118556505832,0.12984446166343122,3,3.451310396194458,0.8572297289199385,0.6173646228785621,0.745578681189638,0.5855152600706597,0.1494248315607392,0.13220508144128829,0.7938691948703647,0.8089118556505832,0.12984446166343122,0.2084970779869913,test_rmse_global,68279241,68279241,2576800,2576800,535060,535060,71391101,71391101
