model,seed,sample,protein,spearman
mlp_64,0,D1TNSL,CD19,0.28714628248023505
mlp_64,0,D1TNSL,CD27,0.37937535089771285
mlp_64,0,D1TNSL,CD274,0.4806045969156629
mlp_64,0,D1TNSL,CD3E,0.8520686405085646
mlp_64,0,D1TNSL,CD4,0.2502371730283825
mlp_64,0,D1TNSL,CD40,0.2458164418960614
mlp_64,0,D1TNSL,CD68,0.48213378850224864
mlp_64,0,D1TNSL,CD8A,0.804903773040376
mlp_64,0,D1TNSL,CEACAM8,0.4496582997208561
mlp_64,0,D1TNSL,CR2,0.2645712668862494
mlp_64,0,D1TNSL,CXCR5,0.7151399758448478
mlp_64,0,D1TNSL,EPCAM,0.27033149881896207
mlp_64,0,D1TNSL,FCGR3A,0.1167931589742079
mlp_64,0,D1TNSL,HLA_DRA,0.5372306886377138
mlp_64,0,D1TNSL,ITGAM,0.20476776989637518
mlp_64,0,D1TNSL,ITGAX,0.34223772708051364
mlp_64,0,D1TNSL,KRT5,0.8217776136319574
mlp_64,0,D1TNSL,MS4A1,0.46754098527648535
mlp_64,0,D1TNSL,PAX5,0.7810074562467214
mlp_64,0,D1TNSL,PCNA,0.44472701249462965
mlp_64,0,D1TNSL,PDCD1,0.3490758835890716
mlp_64,0,D1TNSL,PECAM1,0.7485754080504172
mlp_64,0,D1TNSL,PTPRC_1,0.14610481281859203
mlp_64,0,D1TNSL,PTPRC_2,0.49751591439004217
mlp_64,0,D1TNSL,SDC1,0.14924707911975835
mlp_64,0,D1TNSL,VIM,0.6691925109168835
mlp_64,1,A1LN,ACTA2,0.36290536499047327
mlp_64,1,A1LN,BCL2,0.39472909087316144
mlp_64,1,A1LN,CCR7,0.35605174005747486
mlp_64,1,A1LN,CD14,0.3378624186773653
mlp_64,1,A1LN,CD163,0.40706371963371574
mlp_64,1,A1LN,CD19,0.5410764940177272
mlp_64,1,A1LN,CD27,0.20217137252456685
mlp_64,1,A1LN,CD274,-0.17888149021728142
mlp_64,1,A1LN,CD3E,0.7959417036852895
mlp_64,1,A1LN,CD4,0.12846727333618163
mlp_64,1,A1LN,CD40,0.030068252584265764
mlp_64,1,A1LN,CD68,0.11172903961432515
mlp_64,1,A1LN,CD8A,0.5423380469096658
mlp_64,1,A1LN,CEACAM8,0.3629809104830058
mlp_64,1,A1LN,CR2,-0.059477668168817374
mlp_64,1,A1LN,CXCR5,0.43388292073722395
mlp_64,1,A1LN,EPCAM,-0.01613589999028345
mlp_64,1,A1LN,FCGR3A,0.379695139458139
mlp_64,1,A1LN,HLA_DRA,0.4293009969441957
mlp_64,1,A1LN,ITGAM,0.38141490479055135
mlp_64,1,A1LN,ITGAX,0.2856594670511495
mlp_64,1,A1LN,KRT5,-0.04340627001268383
mlp_64,1,A1LN,MS4A1,0.31359697096979244
mlp_64,1,A1LN,PAX5,0.47847059995800006
mlp_64,1,A1LN,PCNA,-0.03933895820198597
mlp_64,1,A1LN,PDCD1,-0.18093291393582303
mlp_64,1,A1LN,PECAM1,0.3257719919505351
mlp_64,1,A1LN,PTPRC_1,0.2546235298064554
mlp_64,1,A1LN,PTPRC_2,0.4615959066404961
mlp_64,1,A1LN,SDC1,0.11415716042998962
mlp_64,1,A1LN,VIM,-0.21792800688316186
mlp_64,1,A1TNSL,ACTA2,0.8132804737516309
mlp_64,1,A1TNSL,BCL2,0.5339881045644714
mlp_64,1,A1TNSL,CCR7,0.39028046066616157
mlp_64,1,A1TNSL,CD14,0.31394481840565386
mlp_64,1,A1TNSL,CD163,0.2871160118127042
mlp_64,1,A1TNSL,CD19,0.433301267707017
mlp_64,1,A1TNSL,CD27,0.363154373942923
mlp_64,1,A1TNSL,CD274,0.5356158762999433
mlp_64,1,A1TNSL,CD3E,0.8606123293225068
mlp_64,1,A1TNSL,CD4,0.35734813270369287
mlp_64,1,A1TNSL,CD40,0.35409686221530445
mlp_64,1,A1TNSL,CD68,0.5043412326738473
mlp_64,1,A1TNSL,CD8A,0.7725782603933254
mlp_64,1,A1TNSL,CEACAM8,0.44586574469548135
mlp_64,1,A1TNSL,CR2,0.5069452759365283
mlp_64,1,A1TNSL,CXCR5,0.7387272910145583
mlp_64,1,A1TNSL,EPCAM,0.363952558826062
mlp_64,1,A1TNSL,FCGR3A,0.15492564776722095
mlp_64,1,A1TNSL,HLA_DRA,0.7030041859457064
mlp_64,1,A1TNSL,ITGAM,0.2485439169597025
mlp_64,1,A1TNSL,ITGAX,0.3854253138104358
mlp_64,1,A1TNSL,KRT5,0.8088887467503748
mlp_64,1,A1TNSL,MS4A1,0.4286491809432817
mlp_64,1,A1TNSL,PAX5,0.8001178902593183
