fold,sample,n_spots_raw,n_spots_eval,n_genes_model,spearman_mean,spearman_median,pearson_mean,spot_pearson_mean,namesake_spearman_mean
holdout_tonsil,A1LN,3394,1301,12893,0.22026009454423412,0.27007262740121185,0.21849854290485382,-0.11735089123249054,0.1606091743989235
holdout_tonsil,A1TNSL,4329,4075,12893,0.3130667325628757,0.281594312628805,0.28919321298599243,0.10277976095676422,0.24485739929462133
holdout_tonsil,D1LN,3024,114,12893,0.2593491946425784,0.2898159211032584,0.259230375289917,-0.021471558138728142,0.20204985620528354
holdout_tonsil,D1TNSL,4503,3960,12893,0.29331825065778294,0.3000544411473871,0.2678733170032501,0.10237710922956467,0.24345645540201613
holdout_breast_cancer,A1LN,3394,1301,12893,0.2318601186940172,0.33777422098314225,0.23135992884635925,-0.09369903057813644,0.1606091743989235
holdout_breast_cancer,A1TNSL,4329,4075,12893,0.39232009557824155,0.3901023374354561,0.3688175678253174,0.2250756025314331,0.24485739929462133
holdout_breast_cancer,D1LN,3024,114,12893,0.3480846427155279,0.3662987788825662,0.32221683859825134,0.010760106146335602,0.20204985620528354
holdout_breast_cancer,D1TNSL,4503,3960,12893,0.3874630236036148,0.36906050953259606,0.3666287064552307,0.2203846275806427,0.24345645540201613
