fold,sample,n_spots_raw,n_spots_eval,n_genes_model,spearman_mean,spearman_median,pearson_mean,spot_pearson_mean,namesake_spearman_mean
holdout_tonsil,A1LN,3394,3394,12893,0.15960322713902672,0.20575495296294286,0.13676491379737854,-0.11522462218999863,0.09564189576292585
holdout_tonsil,A1TNSL,4329,4329,12893,0.29246614015322886,0.31188530509886836,0.24311242997646332,0.1029341071844101,0.22622135840617405
holdout_tonsil,D1LN,3024,3024,12893,0.17997124676218115,0.20346744272820166,0.1826244592666626,-0.18391747772693634,0.08147361573235297
holdout_tonsil,D1TNSL,4503,4503,12893,0.27535060016548474,0.30174471403720615,0.24319790303707123,0.09739523380994797,0.21496113440253706
holdout_breast_cancer,A1LN,3394,3394,12893,0.12987958380939832,0.19079481159751718,0.10305488854646683,-0.12890736758708954,0.09564189576292585
holdout_breast_cancer,A1TNSL,4329,4329,12893,0.35898141236530134,0.33904789350759734,0.30589792132377625,0.22721423208713531,0.22622135840617405
holdout_breast_cancer,D1LN,3024,3024,12893,0.16988217097859928,0.17953790255678295,0.17152360081672668,-0.22021262347698212,0.08147361573235297
holdout_breast_cancer,D1TNSL,4503,4503,12893,0.351619303401144,0.3296995633002976,0.3240506649017334,0.22470243275165558,0.21496113440253706
