set,sample,n_spots,model_pcc,model_spear,iso_spear,baseline_spear,模型-基线(spear)
内部 LODO,tonsil,4191,0.06033070639927267,0.07097788845728041,0.164328611077038,0.3641365203582159,-0.2931586319009355
内部 LODO,breast_cancer,4164,0.23247622588004255,0.22374663080856158,-0.05577073693906853,0.2984712295424552,-0.07472459873389362
外部 GSE,A1LN,3394,0.11349584816865024,0.09640424430865802,-0.04581610681869207,0.09564189576292585,0.0007623485457321638
外部 GSE,A1TNSL,4329,0.16010648715548825,0.20431019886580132,0.005087152226682601,0.22622135840617405,-0.021911159540372732
外部 GSE,D1LN,3024,0.08923421040399092,0.07403644531271883,-0.0444907164014223,0.08147361573235297,-0.00743717041963414
外部 GSE,D1TNSL,4503,0.16423386948133697,0.20741235673321826,0.02993610138459581,0.21496113440253706,-0.007548777669318801
