set,sample,protein,model_pcc,model_spear,baseline_spear
外部 GSE,A1LN,CD4,0.06985441956847585,0.03369706064709205,0.02810607797052522
外部 GSE,A1LN,CD40,0.06677298225948945,0.13833128528747501,-0.012466496659689182
外部 GSE,A1LN,CD68,-0.4331217650411787,-0.5068068374223518,
外部 GSE,A1LN,CD8A,0.023944865685592398,0.028453812507391152,0.1666242757036654
外部 GSE,A1LN,CEACAM8,0.03810035982958021,0.0662361631462393,
外部 GSE,A1LN,CR2,0.11971253354560085,0.08007112153536619,0.13483327947743293
外部 GSE,A1LN,CXCR5,0.3766332536353765,0.3492645955637741,0.15980819718303063
外部 GSE,A1LN,EPCAM,0.0306514127497289,0.025583261035015053,0.030884136593346538
外部 GSE,A1LN,FCGR3A,0.12687868277439715,0.08963518130241965,0.00724682082662027
外部 GSE,A1LN,HLA_DRA,0.3268003862665958,0.39410616698211276,
外部 GSE,A1LN,ITGAM,-0.1918809768901333,-0.0871386551471532,0.030657095499209114
外部 GSE,A1LN,ITGAX,0.18627372954765795,0.10393999449950041,0.12491678182344548
外部 GSE,A1LN,KRT5,0.0005545042172968497,0.02485568786475745,0.008421087315135602
外部 GSE,A1LN,MS4A1,0.24744934143608732,0.14797978912635984,0.20982428839512945
外部 GSE,A1LN,PAX5,0.33788897395201,0.17581708631104898,0.1279242869021218
外部 GSE,A1LN,PCNA,-0.09434909278341261,-0.19588460295896784,
外部 GSE,A1LN,PDCD1,0.13399424420230466,0.15150079582775988,
外部 GSE,A1LN,PECAM1,0.5825694754306365,0.6131055794796721,0.21159423505340763
外部 GSE,A1LN,PTPRC_1,-0.0505643545440648,-0.1262883360247602,0.03879740726921422
外部 GSE,A1LN,PTPRC_2,0.09851026062440996,0.10218114538651465,0.08531263522099455
外部 GSE,A1LN,SDC1,0.014893424327250049,-0.0170047533637798,0.005886040616457618
外部 GSE,A1LN,VIM,-0.013381780283824349,0.18815107768346467,
外部 GSE,A1TNSL,ACTA2,0.4819295591120236,0.7082964846028328,0.26911778085746074
外部 GSE,A1TNSL,BCL2,-0.024582316204342036,-0.12639140607457375,0.2626521594577437
外部 GSE,A1TNSL,CCR7,-0.08617898789391235,-0.08960492156306024,0.17703927112668508
外部 GSE,A1TNSL,CD14,0.14671867715296338,0.16515460422847328,0.020753127388220688
外部 GSE,A1TNSL,CD163,0.06266535880354421,0.0885377708058067,0.061707853761876645
外部 GSE,A1TNSL,CD19,0.05179723158943865,0.14191613037857329,0.15379424426344257
外部 GSE,A1TNSL,CD27,0.19878653843585078,0.2600274432432216,0.08785304208252742
外部 GSE,A1TNSL,CD274,0.22025414361338744,0.2999152522404054,
外部 GSE,A1TNSL,CD3E,0.48566608335783634,0.6415226550957236,0.5299119335332958
外部 GSE,A1TNSL,CD4,-0.2532675428943393,-0.3261063145311299,0.19040570556196934
外部 GSE,A1TNSL,CD40,0.04843054293483305,0.14264721623594845,0.1569285363403059
外部 GSE,A1TNSL,CD68,0.20454494297930803,0.15398351611798314,
外部 GSE,A1TNSL,CD8A,0.424842566974962,0.3818484011023137,0.27125402857472375
外部 GSE,A1TNSL,CEACAM8,0.01861521190732729,-0.020884924048307607,
外部 GSE,A1TNSL,CR2,-0.2241125023564936,-0.2551211236749717,0.16777912426271274
外部 GSE,A1TNSL,CXCR5,0.3802495337885608,0.5048929991904294,0.37260526574475034
外部 GSE,A1TNSL,EPCAM,0.2377717999600117,0.14611971777872007,0.027129704990365974
外部 GSE,A1TNSL,FCGR3A,-0.09904383743485495,-0.100416631290764,0.024150872145521047
外部 GSE,A1TNSL,HLA_DRA,0.18866392242904156,0.32935268121754335,
外部 GSE,A1TNSL,ITGAM,0.018938978390721242,-0.015545240734569657,0.059304181395943095
外部 GSE,A1TNSL,ITGAX,0.013546784109312902,-0.006875139314305598,0.20940934544632736
外部 GSE,A1TNSL,KRT5,0.6054821038953927,0.7004018187914038,0.737132794127374
外部 GSE,A1TNSL,MS4A1,0.1255823811069314,0.139888026868774,0.3816471986339055
外部 GSE,A1TNSL,PAX5,0.3013327540054625,0.3910627017418748,0.6200196099860645
外部 GSE,A1TNSL,PCNA,0.2495166734430146,0.30516745096908554,
外部 GSE,A1TNSL,PDCD1,0.0014838318569561082,0.060426841105138296,
外部 GSE,A1TNSL,PECAM1,0.32330849361159364,0.5235276901652645,0.39721999616935044
外部 GSE,A1TNSL,PTPRC_1,0.10576782193464229,0.11784993795088936,0.05586714337681265
外部 GSE,A1TNSL,PTPRC_2,0.1996332217932961,0.34518658509116595,0.09499916661581835
外部 GSE,A1TNSL,SDC1,0.060378698658012105,0.028207723369287604,0.10063051590497955
外部 GSE,A1TNSL,VIM,0.49457843275965396,0.6986282177806671,
外部 GSE,D1LN,ACTA2,0.46589613281182574,0.393129609469664,0.19091952896139378
外部 GSE,D1LN,BCL2,-0.1521078103460855,-0.16754306221385953,0.1276334517614788
外部 GSE,D1LN,CCR7,-0.046540782751009195,-0.04430579451500905,0.17357085141797815
外部 GSE,D1LN,CD14,0.04490030840062155,0.045025047744768704,-0.03862845476637902
外部 GSE,D1LN,CD163,0.2395318865271816,0.2668531175648313,0.15770585757002442
外部 GSE,D1LN,CD19,0.1420845317447707,0.18097813649637884,-0.050849643912546066
外部 GSE,D1LN,CD27,-0.0691562499939289,-0.1214469196734286,0.03481748456643391
外部 GSE,D1LN,CD274,0.0419088192136557,0.0387960615143285,
外部 GSE,D1LN,CD3E,0.2132428757260913,0.15573098249340417,0.22673366873486134
外部 GSE,D1LN,CD4,-0.10042553303656807,-0.10610376783760836,0.041371477382848874
外部 GSE,D1LN,CD40,0.10618624639418994,0.08030653438659545,0.016863798861056333
外部 GSE,D1LN,CD68,-0.48304436774919546,-0.5032727170847381,
外部 GSE,D1LN,CD8A,0.0550344220056623,0.029894413932712697,0.1135391009658953
外部 GSE,D1LN,CEACAM8,0.051425984374917105,0.0688898421256913,
外部 GSE,D1LN,CR2,0.07604092118195119,0.0572028484629243,0.13489201765236175
外部 GSE,D1LN,CXCR5,0.35613682807479285,0.3552509958785945,0.09539768028167975
外部 GSE,D1LN,EPCAM,0.0017436577737840499,-0.022189354237009254,0.028821879303393343
外部 GSE,D1LN,FCGR3A,-0.02895558676525055,-0.04448692983964675,0.017674927530011996
外部 GSE,D1LN,HLA_DRA,0.48189185559615033,0.43373832160582937,
外部 GSE,D1LN,ITGAM,0.1124728205431115,0.08341415064017925,0.05292519244480752
外部 GSE,D1LN,ITGAX,0.1324353054400328,0.13707077670277706,0.09443950439800318
外部 GSE,D1LN,KRT5,-0.0730449924994421,-0.050692219780149594,0.0059269236535694665
外部 GSE,D1LN,MS4A1,0.2123070797516038,0.1627127659081897,0.14886518242257424
外部 GSE,D1LN,PAX5,0.11743422679977181,0.0675282843275898,0.1551131719317968
外部 GSE,D1LN,PCNA,-0.0422880548277047,-0.0723595795407946,
外部 GSE,D1LN,PDCD1,0.2437750287450423,0.2121016142859482,
外部 GSE,D1LN,PECAM1,0.45214798212109697,0.4810214831985385,0.14812172666845455
外部 GSE,D1LN,PTPRC_1,-0.1693818423836274,-0.1853980701665064,0.010283635845674226
外部 GSE,D1LN,PTPRC_2,0.17760300468765072,0.20783207641495305,0.05185096556697428
外部 GSE,D1LN,SDC1,-0.014447544063585902,-0.02531207277779045,0.017376848334124475
外部 GSE,D1LN,VIM,0.22145336902621215,0.18076322920692584,
外部 GSE,D1TNSL,ACTA2,0.47849011748253223,0.7402986117460003,0.3223794745461638
外部 GSE,D1TNSL,BCL2,-0.0339713980487594,-0.131924727586679,0.22374548722774126
外部 GSE,D1TNSL,CCR7,-0.0734952216084306,-0.10580577892762345,0.15576909887886844
外部 GSE,D1TNSL,CD14,0.1708751247560891,0.2188499603085968,0.004482538289420798
外部 GSE,D1TNSL,CD163,0.05475928075572555,0.08230488237374736,0.16254381648912783
外部 GSE,D1TNSL,CD19,0.0642585657435744,0.13909398166310455,0.14627026250582478
外部 GSE,D1TNSL,CD27,0.21175860968883314,0.28405410698944705,0.07318086789897786
外部 GSE,D1TNSL,CD274,0.2466754532644854,0.3451064729102949,
外部 GSE,D1TNSL,CD3E,0.5071698591921838,0.6375288146196587,0.5152749917471174
外部 GSE,D1TNSL,CD4,-0.24336455834935522,-0.2959845217267313,0.11563498309630578
外部 GSE,D1TNSL,CD40,0.05136131584434235,0.1102997271962307,0.10165384758413924
外部 GSE,D1TNSL,CD68,0.2090326161618712,0.159071920123303,
外部 GSE,D1TNSL,CD8A,0.4403283807688285,0.38071582679152827,0.2734812677155896
外部 GSE,D1TNSL,CEACAM8,0.027030847997708107,-0.022689559990470926,
外部 GSE,D1TNSL,CR2,-0.2913375138998672,-0.35074707142516437,0.15356645883071407
外部 GSE,D1TNSL,CXCR5,0.3689054014241221,0.48545320740906384,0.3601943606412287
外部 GSE,D1TNSL,EPCAM,0.17156921976829215,0.0698160618926364,0.025441477632084167
外部 GSE,D1TNSL,FCGR3A,-0.1123549803244407,-0.0830566788145191,0.022288044527678876
外部 GSE,D1TNSL,HLA_DRA,0.19880112860465465,0.33263716926549836,
外部 GSE,D1TNSL,ITGAM,0.025952207963463654,0.012096696056620206,0.01875700312986494
外部 GSE,D1TNSL,ITGAX,0.016257723985166,0.009354442084234249,0.1707193479329083
外部 GSE,D1TNSL,KRT5,0.5753852401407173,0.7350068766017976,0.7589682868012376
外部 GSE,D1TNSL,MS4A1,0.1365260045472216,0.1498880692510408,0.3989978876446649
外部 GSE,D1TNSL,PAX5,0.273923234407047,0.37733867222893813,0.5751095641091322
外部 GSE,D1TNSL,PCNA,0.22793927300172734,0.24176624267255514,
外部 GSE,D1TNSL,PDCD1,0.036276831302596846,0.07856026429970078,
外部 GSE,D1TNSL,PECAM1,0.3032318207766723,0.5302183480952206,0.3947659843274154
外部 GSE,D1TNSL,PTPRC_1,0.06973459628476936,0.09352400603124356,-0.006302516474979643
外部 GSE,D1TNSL,PTPRC_2,0.36688911430262905,0.4178343443938415,0.09724058150350368
外部 GSE,D1TNSL,SDC1,0.10293995440294605,0.0664856707618358,0.09490410907615925
外部 GSE,D1TNSL,VIM,0.5097017035840987,0.7226870214348144,
