input,ckpt,sample,protein,isotype,pcc,spearman,std_true
proc,holdout_breast_cancer,A1TNSL,rat_IgG2a,True,-0.1931195040508231,-0.18597619680203792,0.37980926036834717
proc,holdout_breast_cancer,D1LN,ACTA2,False,0.44938124963710085,0.4128735114996798,0.7250224947929382
proc,holdout_breast_cancer,D1LN,BCL2,False,-0.05846180436365997,-0.03006994170818649,0.3144398331642151
proc,holdout_breast_cancer,D1LN,CCR7,False,0.12294019195094343,0.11324726616355524,0.3383185565471649
proc,holdout_breast_cancer,D1LN,CD14,False,0.03756182163410452,0.03923905448408374,0.262919157743454
proc,holdout_breast_cancer,D1LN,CD163,False,0.10809565355543084,0.13441642330962741,0.35364583134651184
proc,holdout_breast_cancer,D1LN,CD19,False,0.00842257201643334,0.041928045075732404,0.322081983089447
proc,holdout_breast_cancer,D1LN,CD27,False,-0.03470141662418404,-0.09853434357918857,0.3246697187423706
proc,holdout_breast_cancer,D1LN,CD274,False,0.09587379057969478,0.12739163822569216,0.7648149728775024
proc,holdout_breast_cancer,D1LN,CD3E,False,-0.07709063052049595,-0.15324646150299992,0.5474452972412109
proc,holdout_breast_cancer,D1LN,CD4,False,0.05956613305257623,0.08044148617721816,0.26296892762184143
proc,holdout_breast_cancer,D1LN,CD40,False,0.1182612496058321,0.11024217341882987,0.2707076966762543
proc,holdout_breast_cancer,D1LN,CD68,False,-0.4268311548659956,-0.4606948288959263,0.6308062076568604
proc,holdout_breast_cancer,D1LN,CD8A,False,0.04418428221475322,-0.03262103212953626,0.4468434453010559
proc,holdout_breast_cancer,D1LN,CEACAM8,False,0.18679857482435913,0.20356704209935322,1.4823554754257202
proc,holdout_breast_cancer,D1LN,CR2,False,0.30402248489058314,0.2089233520021378,0.24920065701007843
proc,holdout_breast_cancer,D1LN,CXCR5,False,0.3591032843849556,0.37759566669854816,0.5516594052314758
proc,holdout_breast_cancer,D1LN,EPCAM,False,0.04617594648038917,0.024629202779008676,0.2833028733730316
proc,holdout_breast_cancer,D1LN,FCGR3A,False,0.168405516669538,0.2372677140521932,2.381760597229004
proc,holdout_breast_cancer,D1LN,HLA_DRA,False,0.4430589442331553,0.3904651160119153,0.7523378133773804
proc,holdout_breast_cancer,D1LN,ITGAM,False,0.20162654451274642,0.09245513379927807,0.48048120737075806
proc,holdout_breast_cancer,D1LN,ITGAX,False,-0.0411937582470092,-0.04189442301971666,0.4036928117275238
proc,holdout_breast_cancer,D1LN,KRT5,False,-0.04537285525050958,-0.04153942405359859,2.1408839225769043
