input,ckpt,sample,n_spots,pcc_marker_mean,pcc_marker_median,spear_marker_mean,spear_marker_median,pcc_isotype_mean,spear_isotype_mean,pcc_spot_mean,rmse_marker,baseline_spear_mean,delta_vs_baseline,n_baseline
proc,holdout_tonsil,A1LN,3394,0.1344854117527445,0.13390208916004212,0.11461948396426874,0.08883820710306209,0.08018499689875833,-0.06210062360012698,0.7777186558943951,1.229811668395996,0.09564189576292585,0.049073638283843535,24
proc,holdout_tonsil,A1TNSL,4329,0.11328339461157415,0.14611763361907368,0.18846236640596803,0.16929949592038035,0.016401715349518384,0.010335600719443908,0.7761208270252358,1.1238261461257935,0.22622135840617405,-0.059255244687342785,24
proc,holdout_tonsil,D1LN,3024,0.08474654375516223,0.06588456179657147,0.07580574184383777,0.07437316748108057,-0.01696949762435365,-0.09902392664021781,0.7894340462215841,1.091947317123413,0.08147361573235297,-0.006410644821592944,24
proc,holdout_tonsil,D1TNSL,4503,0.12352047358974025,0.1584155134783264,0.19938271042693692,0.18813639124806175,0.04005193894313941,0.048026019588541385,0.7670835230872204,1.1806880235671997,0.21496113440253706,-0.032426132927303036,24
proc,holdout_breast_cancer,A1LN,3394,0.0925062845845561,0.07509414609196643,0.07818900465304732,0.08802094009252527,0.016340098659777976,-0.02953159003725718,0.743851559086585,1.2958301305770874,0.09564189576292585,-0.007480343723329955,24
proc,holdout_breast_cancer,A1TNSL,4329,0.20692957969940243,0.2393239170633763,0.22015803132563475,0.23041927017927472,-0.026727885598130167,-0.00016129626607871983,0.8272902013394088,1.0875884294509888,0.22622135840617405,-0.017601878003561295,24
proc,holdout_breast_cancer,D1LN,3024,0.09372187705281962,0.09733103971199504,0.07226714878159991,0.08044148617721816,0.04024249816931632,0.010042493837373219,0.7653031155061306,1.1478168964385986,0.08147361573235297,0.004836166071978128,24
proc,holdout_breast_cancer,D1TNSL,4503,0.20494726537293367,0.2534088675137944,0.21544200303949962,0.2671822498579437,-0.010989337685102497,0.011846183180650269,0.8190796969836909,1.1467725038528442,0.21496113440253706,-0.016442508543265264,24
raw,holdout_tonsil,A1LN,3394,0.08597957949906831,0.12709506471292245,0.13393559578870104,0.09514344322362737,-0.0035379928318524725,0.05758874698950092,0.615989664690443,1.4357812404632568,0.09564041459098382,0.033263069497300735,24
raw,holdout_tonsil,A1TNSL,4329,0.13033487246091077,0.12867211396157766,0.19420853966628995,0.19373096260621775,0.05162417096214026,0.08027810704962529,0.7170353947761177,1.2300751209259033,0.22622135840617405,-0.031740339327779254,24
raw,holdout_tonsil,D1LN,3024,0.08237627720967002,0.06056376621517808,0.10127707330872547,0.10413694449510767,0.011977252838799685,-0.0060638032189346824,0.6162406972978157,1.3301299810409546,0.0814735111786821,0.011391541521088603,24
raw,holdout_tonsil,D1TNSL,4503,0.13316201933205224,0.11700880156567647,0.18486505453298263,0.1708128542675573,0.04173102144848723,0.07408265738289554,0.6987683799525196,1.2977526187896729,0.21496110618625394,-0.03564200083280047,24
raw,holdout_breast_cancer,A1LN,3394,0.00579636301173397,0.03936164884447357,0.053832986807100136,0.08974300605836473,0.018372295706438887,0.17752273217545367,0.2848983117247737,1.559941053390503,0.09564041459098382,0.00808001250385717,24
raw,holdout_breast_cancer,A1TNSL,4329,0.0890868524270577,0.09512701119098797,0.15888377260482006,0.1781783794671291,0.07194597694968567,0.12026817638722646,0.5516705320975729,1.2859690189361572,0.22622135840617405,-0.08107405881911871,24
raw,holdout_breast_cancer,D1LN,3024,0.038855532768852764,0.09314828822514536,0.05807945944281436,0.12089251267001364,0.05855782226304699,0.1510066273619623,0.2788623178912094,1.4319709539413452,0.0814735111786821,0.025029786264184593,24
raw,holdout_breast_cancer,D1TNSL,4503,0.09025340996886752,0.08000566603632554,0.13915877796045328,0.12725122556331603,0.05322427265226484,0.11130969920087158,0.4484032203267744,1.3967806100845337,0.21496110618625394,-0.08852239573663682,24
