section,protein,isotype,compartment,spearman,perm_p
B,SDC1,False,endo,-0.03538399087186064,0.2095
B,VIM,False,tropho,-0.2688135445365804,0.0
B,VIM,False,immune,0.34230390874012745,0.0
B,VIM,False,stroma,0.0077024942166465235,0.7625
B,VIM,False,endo,0.0842572867111382,0.0015
B,mouse_IgG1k,True,tropho,-0.26614333071507507,0.0
B,mouse_IgG1k,True,immune,0.3527004530638746,0.0
B,mouse_IgG1k,True,stroma,0.029096138508807042,0.2615
B,mouse_IgG1k,True,endo,0.06282010794940608,0.0175
B,mouse_IgG2a,True,tropho,-0.12270029911066845,0.0
B,mouse_IgG2a,True,immune,0.14999474799349405,0.0
B,mouse_IgG2a,True,stroma,0.02234813732603571,0.418
B,mouse_IgG2a,True,endo,0.04302730300487447,0.107
B,mouse_IgG2bk,True,tropho,-0.2688057183957928,0.0
B,mouse_IgG2bk,True,immune,0.33027256664522914,0.0
B,mouse_IgG2bk,True,stroma,0.020162161269284447,0.465
B,mouse_IgG2bk,True,endo,0.067914772719,0.012
B,rat_IgG2a,True,tropho,0.2083399654023639,0.0
B,rat_IgG2a,True,immune,-0.3090797014858769,0.0
B,rat_IgG2a,True,stroma,-0.004854852165696278,0.862
B,rat_IgG2a,True,endo,-0.09237498987530687,0.001
