celltype,n_eoPE_donors,n_ctrl_donors,n_cells_eoPE,n_cells_ctrl,n_up,n_dn
DSC1,4,3,845,655,0,0
dEpC,5,3,782,408,0,0
dLEC,4,4,1786,2234,0,0
dMAC1,5,4,4569,3585,0,0
dMAC2,4,4,1682,1111,0,0
dMono1,3,4,982,560,0,0
dNK1,4,4,3722,2092,0,0
dNK2,4,4,1939,1388,0,0
dSMC,4,4,406,590,0,0
dTcell,5,4,5380,4540,0,0
dVEC,5,4,1151,1097,0,0
