experiment,fold,protein,spearman,kind
Internal LODO (20 ep),holdout_breast_cancer,CD68,-0.1059022389009562,marker
Internal LODO (20 ep),holdout_breast_cancer,CD8A,0.510261422693676,marker
Internal LODO (20 ep),holdout_breast_cancer,CEACAM8,-0.1156861592389476,marker
Internal LODO (20 ep),holdout_breast_cancer,CR2,0.2813010503577646,marker
Internal LODO (20 ep),holdout_breast_cancer,CXCR5,-0.3046873360307027,marker
Internal LODO (20 ep),holdout_breast_cancer,EPCAM,0.8328229982940085,marker
Internal LODO (20 ep),holdout_breast_cancer,FCGR3A,-0.0630060538490156,marker
Internal LODO (20 ep),holdout_breast_cancer,HLA_DRA,-0.402951225157475,marker
Internal LODO (20 ep),holdout_breast_cancer,ITGAM,0.3273882488203499,marker
Internal LODO (20 ep),holdout_breast_cancer,ITGAX,0.2423116814047297,marker
Internal LODO (20 ep),holdout_breast_cancer,KRT5,0.8690221876615627,marker
Internal LODO (20 ep),holdout_breast_cancer,MS4A1,-0.4466402605841897,marker
Internal LODO (20 ep),holdout_breast_cancer,PAX5,-0.3811473585587367,marker
Internal LODO (20 ep),holdout_breast_cancer,PCNA,0.8282272575361997,marker
Internal LODO (20 ep),holdout_breast_cancer,PDCD1,-0.3010623728488655,marker
Internal LODO (20 ep),holdout_breast_cancer,PECAM1,0.4794431184225981,marker
Internal LODO (20 ep),holdout_breast_cancer,PTPRC_1,0.5102387606648062,marker
Internal LODO (20 ep),holdout_breast_cancer,PTPRC_2,0.6732042078846986,marker
Internal LODO (20 ep),holdout_breast_cancer,SDC1,0.5034556433505332,marker
Internal LODO (20 ep),holdout_breast_cancer,VIM,0.8429917889677633,marker
Internal LODO (20 ep),holdout_breast_cancer,mouse_IgG1k,-0.1520188204300382,isotype
Internal LODO (20 ep),holdout_breast_cancer,mouse_IgG2a,-0.5149857715721597,isotype
Internal LODO (20 ep),holdout_breast_cancer,mouse_IgG2bk,0.337998751613046,isotype
