key,version,n_proteins,mean_rho,median_rho,frac_pos
A_bc,old(scale),16,0.03946795561199193,0.10802791489654881,0.625
A_bc,new(proc),16,0.04432367008729761,0.04234087207773381,0.6875
A_tonsil,old(scale),16,0.029188588700471058,0.07288465342446336,0.6875
A_tonsil,new(proc),16,0.007977979306164822,0.033898886232435865,0.6875
B_bc,old(scale),19,0.05396209087556302,0.042818568893520495,0.631578947368421
B_bc,new(proc),19,0.08951660521848989,0.03703153829232611,0.631578947368421
