gene,log2FC,t,p,q,expressed,mean_eoPE,mean_ctrl
ALKBH7,-3.4173253286434964,-9.620171385470629,8.951978966539679e-06,0.09905310280966356,True,0.0,3.4173253286434964
GADD45A,3.9037569056481747,9.412805654943538,1.057581708409818e-05,0.09905310280966356,True,3.9037569056481747,0.0
GINS4,2.682405367490044,7.457363711707423,6.0392285066191756e-05,0.3770894279533013,True,2.682405367490044,0.0
AC009283.1,2.5973785705224763,6.63104310999891,0.00014068738856926454,0.6588390406698659,True,2.5973785705224763,0.0
AL163932.1,-2.633568216011841,-5.766038049351732,0.00037116023679851986,0.9998682727658867,True,0.1984955490109172,2.8320637650227583
AL590560.2,2.2262862956629865,5.458233835748604,0.0005364556147011948,0.9998682727658867,True,2.2262862956629865,0.0
CIB2,2.304822706851265,5.4019249578737805,0.0005746485030852583,0.9998682727658867,True,2.304822706851265,0.0
ADTRP,-2.7086929856165645,-5.393340766652889,0.0005807274124685341,0.9998682727658867,True,0.14951802221637212,2.858211007832937
LINC01033,2.6583655132982904,5.249822416027559,0.0006934834800130914,0.9998682727658867,True,2.6583655132982904,0.0
MSRB3,2.4309005334022933,5.228714815112617,0.0007119925033099416,0.9998682727658867,True,2.4309005334022933,0.0
AP004609.3,2.487441191467832,5.096300569664511,0.0008411242260741,0.9998682727658867,True,2.8888047970125514,0.4013636055447195
MYORG,2.337602689407956,5.0647586034414696,0.0008755117984330576,0.9998682727658867,True,2.337602689407956,0.0
KLRG2,2.6216126657022243,5.045745941878093,0.0008969767049892454,0.9998682727658867,True,2.6216126657022243,0.0
AC114401.1,2.4603758262473847,4.927134599996545,0.0010445124266584434,0.9998682727658867,True,2.4603758262473847,0.0
TRDN-AS1,2.371056119121599,4.9190811301946145,0.0010554453515370199,0.9998682727658867,True,2.371056119121599,0.0
MBOAT2,3.217905437093137,4.76410178978886,0.0012919744082554839,0.9998682727658867,True,3.7042702312854985,0.4863647941923619
PARD6G-AS1,-2.4830372356188293,-4.7413049698189225,0.0013313725940201796,0.9998682727658867,True,0.7791841208536017,3.262221356472431
AC106798.1,-2.5481776713334434,-4.728356096075843,0.0013543297064795125,0.9998682727658867,True,0.40154916172547284,2.949726833058916
AC009113.1,2.508521054216791,4.719087081808724,0.0013710261056670483,0.9998682727658867,True,2.968707751487017,0.46018669727022576
CHAD,2.5889944846975417,4.680300375291424,0.0014433520360416902,0.9998682727658867,True,2.5889944846975417,0.0
PCAT6,2.477715220070196,4.53807467786909,0.001746064343933841,0.9998682727658867,True,2.477715220070196,0.0
SCN10A,2.886518313461604,4.324891604726199,0.0023357191985777584,0.9998682727658867,True,2.886518313461604,0.0
PRX,2.5933960232042415,4.3239720366922265,0.0023386863235399374,0.9998682727658867,True,3.008851817618356,0.41545579441411484
CCRL2,2.8383645884052124,4.2864673050637885,0.00246322824656064,0.9998682727658867,True,3.8353347181007873,0.996970129695575
F13A1,2.534805364314566,4.281833508065032,0.0024791045739130935,0.9998682727658867,True,3.053244837994202,0.5184394736796358
SH3RF3,2.2699040227439307,4.233681817971562,0.00265075635555446,0.9998682727658867,True,2.2699040227439307,0.0
AL360270.1,2.9038117576483984,4.232475009168471,0.0026552193391033087,0.9998682727658867,True,3.4852834226404266,0.5814716649920284
MAD2L1BP,2.646248275617332,4.188223164057147,0.002824580744652061,0.9998682727658867,True,3.2940766492785567,0.6478283736612248
CMTM4,-2.812920167255762,-4.120042291524149,0.003108648501819408,0.9998682727658867,True,0.6852383562811892,3.4981585235369517
SPA17,2.497537428175744,4.114177664761591,0.003134477237978333,0.9998682727658867,True,3.06006746309697,0.5625300349212259
AC007773.1,2.6525414889870067,4.099064029855751,0.0032021072866248216,0.9998682727658867,True,3.1771959432895485,0.5246544543025417
CCDC168,2.175681287416758,4.0969496313135725,0.0032116928666822107,0.9998682727658867,True,2.175681287416758,0.0
KCTD16,-2.774789649073413,-4.052901284009886,0.003418545353612779,0.9998682727658867,True,0.9722562979485188,3.747045947021932
OLFM3,-2.511949411105485,-3.9970172655177585,0.0037017537903903694,0.9998682727658867,True,0.5564522565656908,3.068401667671176
ATP8B3,2.6388129826791227,3.994262234548623,0.003716350441186074,0.9998682727658867,True,3.3082916734288594,0.6694786907497365
CSTF2T,2.5710467633627094,3.9861127427789116,0.0037598897086941674,0.9998682727658867,True,3.0919307314416895,0.5208839680789802
LINC02132,2.042188628218522,3.956625963214673,0.003922042438589915,0.9998682727658867,True,2.042188628218522,0.0
AC005264.1,-2.7695722155167792,-3.951495157182108,0.003951013756864988,0.9998682727658867,True,0.35872752517155043,3.1282997406883295
EPHB4,2.1623291372608744,3.9136415100957676,0.004171958467630408,0.9998682727658867,True,2.1623291372608744,0.0
GAPDHS,2.7067911728335785,3.8719750178308425,0.004430511449194161,0.9998682727658867,True,3.416744309092316,0.7099531362587377
PTMS,-2.8216120397768423,-3.844906126481388,0.004607612520186114,0.9998682727658867,True,0.2044026559669265,3.026014695743769
NAPRT,-3.6141721604975956,-3.830949447584372,0.004701863122483396,0.9998682727658867,True,0.8214949868610075,4.435667147358603
BAG1,3.1548959068478917,3.8266804276439275,0.004731101194399735,0.9998682727658867,True,4.469326016858695,1.3144301100108027
POLE3,2.962094484514359,3.7949898772125525,0.004954301508422057,0.9998682727658867,True,3.774461175589082,0.812366691074723
AC135050.4,2.2429703123085463,3.77568940155506,0.005095714217109685,0.9998682727658867,True,2.7621679613120245,0.5191976490034781
